Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Gregory Corso,"3219 Calle Carrozze, Venice, Italy",January and February 1958,Event,,"Corso's first trip to Italy dates 1958, when he visits Alan Ansen in Rome. He would return to visit Allen in the same apartment in the spring of 1960. In between their shared episodes of intense creativity (when they compose mini-dramas and sequence poems inspired by their experiences with heroin and wine), Ansen and Corso immerse themselves in the charm of Venice. The duo keeps themselves busy preparing meals, shopping, compiling literary collections, and playing board games. They also indulge their intellectual curiosity by exploring various cultural treasures, reading books about infamous criminals Leopold & Loeb, the architectural history of Venice, the works of Brecht, and Corso's own poetic creations. Ansen, while acknowledging Ginsberg's reservations, feels his appreciation and comprehension of Corso's poetry growing with each reading. One of the poems composed with Ansen is titled ""God Head Down"" and is mailed to Jack Kerouac. ",First Stay at Alan Ansen's in Venice,"Ansen, Alan. Letter to Jack Kerouac, February 3, 1958. Box 63, Folder 8. Jack Kerouac Papers, The Henry W. and Albert A. Berg Collection of English and American Literature, The New York Public Library, Astor, Lenox and Tilden Foundations.    ",,"Ralph Rumney, Pegeen Vail Guggenheim, Peggy Guggenheim",45.433439,12.3279107
Gregory Corso,"Milan, Italy","April 1, 1960",Event,"I found him great! and after that read him, and found his poetry greater!",,Meeting with Salvatore Quasimodo,"Gregory Corso, An Accidental Autobiography: The Selected Letters of Gregory Corso. New Directions, 2003: 249.",https://ciscox11.files.wordpress.com/2009/08/9-fernanda-pivano-con-gregory-corso-a-milano-nel-1960-da-archivio-corriere.jpg,"Salvatore Quasimodo, Fernanda Pivano",45.4641943,9.1896346
Gregory Corso,"Corso Magenta 69, Milan, Italy",1965,Event,,"While staying with Leo Lionni, Corso unsuccessfully tried to produce a literary magazine for Feltrinelli.",Extended Visit to Milan,"Bill Morgan, The Beats Abroad—A Global Guide to the Beat Generation, City Lights Publishers, 2015: 57.",,Leo Lionni,45.46573,9.17048
Gregory Corso,"Non-Catholic Cemetery in Rome, via Caio Cestio 6",2001,Event,"Spirit
is Life
It flows thru
the death of me
endlessly
like a river
unafraid
of becoming
the sea",,Gregory Corso's Burial Site,,https://ricerca.repubblica.it/repubblica/archivio/repubblica/2001/05/06/sepolto-accanto-shelley-il-poeta-della-beat.html,,41.876286,12.479109
Gregory Corso,"North Beach, San Francisco",1970,Italian America,"When Stevenson in 1956 came to San Francisco he campaigned in what he thought was an Italian section! He spoke of Italy and Joe DiMaggio and spaghetti, but all who were there, all for him, were young beatniks!",,"""America Politica Historia, In Spontaneity""","Gregory Corso, Elegiac Feelings American. New Directions, 1970: 123-124.",,,37.8011749,-122.4090021
Gregory Corso,"Via Giuseppe Verdi, 18, Torino ",12-04-1979,Event,,,"""Incontro con la poesia contemporanea"" at Cinema Massimo","""Perchè la poesia fa spettacolo,"" in La Stampa, December 4, 1979.","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,24/articleid,1462_02_1979_0323_0024_20757920/","Peter Orlowsky, Fernanda Pivano, Allen Ginsberg",45.06827,7.69252
Gregory Corso,"Piazza del Popolo, Roma, Italy","Late 1980s, early 1990s",Event,"Gregory Corso girava per le strade di Roma imbottito di alcol e di droga. Gran viaggiatore hippy, con il sacco a pelo in spalla aveva girato mezzo mondo e soggiornò per alcuni anni nella Capitale muovendosi da un bar all’altro tra Piazza del Popolo e Campo de Fiori. «Frequentava di più i pittori come Tano Festa e Franco Angeli - afferma il poeta Valentino Zeichen - era fuori dai giri letterari»",,Second Long Term Residence in Rome,"""Allen nudo e fumato nel prato di Inge"" in La Stampa, May 11, 1994. ",https://www.youtube.com/watch?v=v0DqUmBPtoU                                                                        ,"Tano Festa, Franco Angeli",41.9107502,12.47682476
Gregory Corso,"Castelporziano, Italy",28-06-1979 to 30-06-1979,Event,"Feci venire gli amici americani a leggere poesie. Vivevano tutti in questa casa. Gregory Corso, che non voleva dormire in una casa borghese, trascorreva la notte sulle panchine nel giardino lì fuori.",,1979 Castelporziano Festival,"""Con Ginsburg e Sanguinetti, giorno e notte sulla spiaggia,"" in La Stampa, June 22, 1979. See also: ""La mia America a via Lungara,"" in La Stampa, July 6, 2000. http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,14/articleid,0431_01_2000_0181_0014_4363823/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://www.culturedeldissenso.com/festival-internazionale-dei-poeti-di-castel-porziano/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,6/articleid,1074_01_1979_0138_0007_23613103/","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,14/articleid,0431_01_2000_0181_0014_4363823/                                                                           http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,6/articleid,1074_01_1979_0138_0007_23613103/ ","Geaorge Baker, Amiri Baraka (LeRoi Jones), Dario Bellezza, Gerald Bissinger, William Burroughs, Ignazio Buttitta, Victor Cavallo, Giuseppe Conte, Gregory Corso, Corrado Costa, Maurizio Cucchi, Milo De Angelis, Diane di Prima, Evgenji Evtušenko, John Giorno, Lawrence Ferlinghetti, Allen Ginsberg, Brion Gysin, Giorgio Manacorda, Dacia Maraini, Nico Orengo, Aldo Piromalli, Fernanda Pivano, Marcelin Pleynet, Antonio Porta, Jaqueline Risset, Denis Roche, Amalia Rosselli, Marialuisa Spaziani, Ivano Urban, Sebastiano Vassalli, Cesare Viviani, Johann W. Von Goethe, Valentino Zeichen.",41.6776293,12.38518832
Gregory Corso,"Spoleto, Italy","from 06-29, 1967 to 07-16,1967",Event,,,Attended 1967 Edition of Festival dei Due Mondi,"Gregory Corso, ""Man"" in The World's Great Poets Reading at the Festival of Two Worlds in Spoleto, Italy. Applause Productions, 1970.",https://www.youtube.com/watch?v=SkWKHA0jwK8&t=1443s,"Giancarlo Menotti, Allen Ginsberg, John Berryman",42.7355124,12.7363357
Gregory Corso,"Rome, Italy",1988,Setting,"Oh Roma! Io molto tragico, io no home, no papa, no mamma. Ah, no dente! No bella donna, no Dio, niente solo io! A Roma... ",Recorded in Milan.,"""Ah Roma!""","""Ah Roma! – Corso & Kuipers,"" in The Allen Ginsberg Project, July 9, 2012. ",https://allenginsberg.org/2012/07/ah-roma-corso-kuipers/,Francis Kuipers,41.8933203,12.4829321
