Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Bob Dylan,Italy,"March 19, 1962",Projected,"Forsake, forsake your house carpenter
And come away with me
I’ll take you where the green grass grows
On the shores of sunny Italy",,"Reference to Italy in ""House Carpenter""","Bob Dylan, ""House Carpenter,"" in The Bootleg Series, Volumes 1-3. Columbia, 1962.",https://www.youtube.com/watch?v=02TjjKsRtRc,,42.6384261,12.674297
Bob Dylan,"Perugia, Italy","September 7, 1962",Projected,"
Yes, the ocean took my baby
My baby took my heart from me
She packed it all up in a suitcase
Lord, she took it away to Italy, Italy",Recorded at Columbia's Studio A.,"Reference to Suze Rotolo's trip to Perugia in ""Down the Highway""","Bob Dylan, ""Down the Highway,"" in The Freewheelin' Bob Dylan. Columbia, 1962.",https://www.youtube.com/watch?v=RDHiZYgUaVg,,43.1119613,12.3890104
Bob Dylan,"Rome, Italy","February 8, 1963",Projected,"Well- Well, you know I’m lying
But don’t look at me with scorn
Well, you know I’m lying
But don’t look at me with scorn
Well, I’m going back to Rome
That’s where I was born

Buy me an Italian talking parrot
Keep it for my friends
Buy me an Italian talking parrot
Keep it for my friends
Don’t talk to Italy
All around its bend

You can keep Madison Square Garden
Give me the Coliseum
You can keep Madison Square Garden
Give me the Coliseum
Don't want to see the gladiators
Man, I can always see ’em",Performed at Gerde's Folk City,"""Goin' Back to Rome""","Bob Dylan, ""Goin' Back to Rome,"" live recording at Gerde's Folk City from February 8, 1963.",https://www.youtube.com/watch?v=ahiCwovZ0kQ,,41.8933203,12.4829321
Bob Dylan,"Piazza Navona, Rome","January or February, 1963",Setting,"This is also where I stay sometime - it snowed last week and my guards as you can see got all covered with snow - bolla regatza everywhere - If I don't open my mouth in this town, everyone thinks I'm Italian (unbelieveable but true I swear). Going to Toreno [sic] tomorrow bella rapatza all over - around the street, swimming in the air - unbelieveable (oh, you're so Italian). Funny, I always thought Italians were Mama Rosas and Anna Mananis [sic] - but they're all Sophia Lorens - I'm learning a song called ""Se Dio Vorra"". Gotta go, gotta meeting with the Pope about all the colored people coming over here, Amore, Bob",Postcard sent by Dylan to Suze Rotolo during his stay in Rome.,Postcard to Suze Rotolo from Piazza Navona,"Carrera, Alessandro, 2009. “Oh, the Streets of Rome: Dylan in Italy” in Highway 61 Revisited. Minneapolis, MN:
University of Minnesota Press. Pp. 85-86.
",https://www.christies.com/lot/lot-bob-dylan-4818899/ ,,41.8989155,12.47311854
Bob Dylan,Italy,"September 16, 1974",Projected,"Someone's got it in for me, they're planting stories in the press
Whoever it is I wish they'd cut it out quick, but when they will I can only guess
They say I shot a man named Gray and took his wife to Italy
She inherited a million bucks and when she died it came to me
I can't help it if I'm lucky",,"Reference to Italy in ""Idiot Wind""","Bob Dylan, ""Idiot Wind,"" in Blood on the Tracks. Columbia, 1974.",https://www.youtube.com/watch?v=w8DylAtPF0I,,42.6384261,12.674297
Bob Dylan,"Rome, Italy",16-19 March 1971,Projected,"Oh, the streets of Rome are filled with rubble
Ancient footprints are everywhere
You can almost think that you’re seein’ double
On a cold, dark night on the Spanish Stairs
Got to hurry on back to my hotel room
Where I’ve got me a date with Botticelli’s niece
She promised that she’d be right there with me
When I paint my masterpiece

Oh, the hours I’ve spent inside the Coliseum
Dodging lions and wastin’ time
Oh, those mighty kings of the jungle, I could hardly stand to see ’em
Yes, it sure has been a long, hard climb
Train wheels runnin’ through the back of my memory
When I ran on the hilltop following a pack of wild geese
Someday, everything is gonna be smooth like a rhapsody
When I paint my masterpiece
[...]
Sailin’ round the world in a dirty gondola
Oh, to be back in the land of Coca-Cola!
[...]
I left Rome and landed in Brussels
On a plane ride so bumpy that I almost cried
Clergymen in uniform and young girls pullin’ muscles
Everyone was there to greet me when I stepped inside
Newspapermen eating candy
Had to be held down by big police
Someday, everything is gonna be diff’rent
When I paint my masterpiece",,"References to Rome in ""When I Paint My Masterpiece""","Bob Dylan, ""When I Paint My Masterpiece,"" in Bob Dylan's Greatest Hits, Vol. II. Columbia, 1971.",https://www.youtube.com/watch?v=lZQ69w8NmxI,Great,41.8933203,12.4829321
Bob Dylan,"via Garibaldi 58, Rome, Italy",05 January 1963,Event,,"Brief informal concert during Dylan's first trip to Italy, during which the author is looking for his girlfriend Suze Rotolo, who had been sent by her mother to Perugia to keep her away from the songwriter.","First Performance in Italy, at Folkstudio","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 84-85.",,,41.890916,12.466658
Bob Dylan,"129 Mulberry Street, New York, NY",30 July 1975,Italian America,,"The song ""Joey"" depicts a sketch of Italian-American mobster Joey Gallo's life. Gallo was killed in Little Italy New York in 1972.","Reference to Italian American Mobster ""Crazy Joe"" Gallo in ""Joey""","Bob Dylan and Jaques Levy, ""Joey,"" in Desire. Columbia, 1975.",https://www.youtube.com/watch?v=Xew67ZHWwLA,,40.7183168,-73.9979434
Bob Dylan,"Colosseum, Rome, Italy",1965,Interview,"BD: “Well, the kicks, you know. . . Like the first time, you say, I was in Rome, I saw. . . I was standing there and digging that, you know, whaddya call it? Big Stadium . . .” Nat Hentoff: “Coliseum.”  BD: “Coliseum. Yeah, you know, it was a kick, you know. Just being . . . Just the whole thing, you know. The whole feeling of being around there and whatever happened, whatever else happened. The second time I was there, you know, it just distracted me, you know. Like this Coliseum and how beautiful it was—it was distracting, man, you know.",,Dylan's Second Visit to Italy,"Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 86.",,,41.8902614,12.4930871
Bob Dylan,"Rome, Italy","January or February, 1963",Event,,,"Location where ""Girl from the North Country"" was written","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 85.",https://www.youtube.com/watch?v=Je4Eg77YSSA,,41.8933203,12.4829321
Bob Dylan,"Rome, Italy","January or February, 1963",Event,,,"Location where ""Bots of Spanish Leather"" was written","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 85.",https://www.youtube.com/watch?v=iy6wryJMwVU ,,41.8933203,12.4829321
