Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Bob Dylan,"via Garibaldi 58, Rome, Italy",05 January 1963,Event,,"Brief informal concert during Dylan's first trip to Italy, during which the author is looking for his girlfriend Suze Rotolo, who had been sent by her mother to Perugia to keep her away from the songwriter.","First Performance in Italy, at Folkstudio","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 84-85.",,,41.890916,12.466658
Bob Dylan,"Rome, Italy","January or February, 1963",Event,,,"Location where ""Girl from the North Country"" was written","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 85.",https://www.youtube.com/watch?v=Je4Eg77YSSA,,41.8933203,12.4829321
Bob Dylan,"Rome, Italy","January or February, 1963",Event,,,"Location where ""Bots of Spanish Leather"" was written","Alessandro Carrera, “Oh, the Streets of Rome: Dylan in Italy,” in Highway 61 Revisited. University of Minnesota Press, 2009: 85.",https://www.youtube.com/watch?v=iy6wryJMwVU ,,41.8933203,12.4829321
Gregory Corso,"Milan, Italy","April 1, 1960",Event,"I found him great! and after that read him, and found his poetry greater!",,Meeting with Salvatore Quasimodo,"Gregory Corso, An Accidental Autobiography: The Selected Letters of Gregory Corso. New Directions, 2003: 249.",https://ciscox11.files.wordpress.com/2009/08/9-fernanda-pivano-con-gregory-corso-a-milano-nel-1960-da-archivio-corriere.jpg,"Salvatore Quasimodo, Fernanda Pivano",45.4641943,9.1896346
Gregory Corso,"Non-Catholic Cemetery in Rome, via Caio Cestio 6",2001,Event,"Spirit
is Life
It flows thru
the death of me
endlessly
like a river
unafraid
of becoming
the sea",,Gregory Corso's Burial Site,,https://ricerca.repubblica.it/repubblica/archivio/repubblica/2001/05/06/sepolto-accanto-shelley-il-poeta-della-beat.html,,41.876286,12.479109
Gregory Corso,"Via Giuseppe Verdi, 18, Torino ",12-04-1979,Event,,,"""Incontro con la poesia contemporanea"" at Cinema Massimo","""Perchè la poesia fa spettacolo,"" in La Stampa, December 4, 1979.","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,24/articleid,1462_02_1979_0323_0024_20757920/","Peter Orlowsky, Fernanda Pivano, Allen Ginsberg",45.06827,7.69252
Gregory Corso,"Piazza del Popolo, Roma, Italy","Late 1980s, early 1990s",Event,"Gregory Corso girava per le strade di Roma imbottito di alcol e di droga. Gran viaggiatore hippy, con il sacco a pelo in spalla aveva girato mezzo mondo e soggiornò per alcuni anni nella Capitale muovendosi da un bar all’altro tra Piazza del Popolo e Campo dei Fiori. «Frequentava di più i pittori come Tano Festa e Franco Angeli - afferma il poeta Valentino Zeichen - era fuori dai giri letterari»",,Second Long Term Residence in Rome,"""Allen nudo e fumato nel prato di Inge"" in La Stampa, May 11, 1994. ",https://www.youtube.com/watch?v=v0DqUmBPtoU                                                                        ,"Tano Festa, Franco Angeli",41.9107502,12.47682476
Gregory Corso,"Castelporziano, Italy",28-06-1979 to 30-06-1979,Event,"Feci venire gli amici americani a leggere poesie. Vivevano tutti in questa casa. Gregory Corso, che non voleva dormire in una casa borghese, trascorreva la notte sulle panchine nel giardino lì fuori.",,1979 Castelporziano Festival,"""Con Ginsburg e Sanguinetti, giorno e notte sulla spiaggia,"" in La Stampa, June 22, 1979. See also: ""La mia America a via Lungara,"" in La Stampa, July 6, 2000. http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,14/articleid,0431_01_2000_0181_0014_4363823/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20https://www.culturedeldissenso.com/festival-internazionale-dei-poeti-di-castel-porziano/%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,6/articleid,1074_01_1979_0138_0007_23613103/","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,14/articleid,0431_01_2000_0181_0014_4363823/                                                                           http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,6/articleid,1074_01_1979_0138_0007_23613103/ ","Geaorge Baker, Amiri Baraka (LeRoi Jones), Dario Bellezza, Gerald Bissinger, William Burroughs, Ignazio Buttitta, Victor Cavallo, Giuseppe Conte, Gregory Corso, Corrado Costa, Maurizio Cucchi, Milo De Angelis, Diane di Prima, Evgenji Evtušenko, John Giorno, Lawrence Ferlinghetti, Allen Ginsberg, Brion Gysin, Giorgio Manacorda, Dacia Maraini, Nico Orengo, Aldo Piromalli, Fernanda Pivano, Marcelin Pleynet, Antonio Porta, Jaqueline Risset, Denis Roche, Amalia Rosselli, Marialuisa Spaziani, Ivano Urban, Sebastiano Vassalli, Cesare Viviani, Johann W. Von Goethe, Valentino Zeichen.",41.6776293,12.38518832
Gregory Corso,"Spoleto, Italy","from 06-29, 1967 to 07-16,1967",Event,,,Attended 1967 Edition of Festival dei Due Mondi,"Gregory Corso, ""Man"" in The World's Great Poets Reading at the Festival of Two Worlds in Spoleto, Italy. Applause Productions, 1970.",https://www.youtube.com/watch?v=SkWKHA0jwK8&t=1443s,"Giancarlo Menotti, Allen Ginsberg, John Berryman",42.7355124,12.7363357
Gregory Corso,"Catania, Italy",1988,Event,"In 1988 he visited Catania. There he went to Centro d' informazione d' arte contemporanea for a meeting, then he went to Teatro Massimo Bellini to see a stage play of Goethe's Faust.",,Visit to Catania,"""Le notti siciliane di Corso poeta della beat generation,"" in La Repubblica, June 27, 2009",https://ricerca.repubblica.it/repubblica/archivio/repubblica/2009/06/27/le-notti-siciliane-di-corso-poeta-della.html,,37.5023612,15.0873718
Gregory Corso,"Cinecittà, Roma, Italy",1990,Event,"Gregory Corso made a cameo appearence in the movie ""The Godfather part III"", directed by Francis Ford Coppola.",,Cameo in The Godfather III,"Francis Ford Coppola, dir. The Godfather 3. Paramount, 1990.",https://youtu.be/cjKl-SxR0rE?t=328,Francis Ford Coppola,41.8493002,12.5743771
Gregory Corso,"Rome, Italy",Early 1980s,Event,"Gregory Corso straniero lo fu ovunque, non solo a Roma nei primi anni '80, tra Campo de' Fiori e il Beat 72, il Folk' s Studio di via Sacchi e il Music Inn, il bar di San Callisto e l' altra vineria del ""Tedesco"" in via del Governo Vecchio, e in tutti gli altri luoghi in cui si può testimoniare di averlo visto parlare, ridere, creare, bivaccare.",,First Long Term Residence in Rome,"""Vita aliena di Gregory Corso nella Roma di angeli e spiriti,"" in La Repubblica, May 22, 2007 ",https://ricerca.repubblica.it/repubblica/archivio/repubblica/2007/05/22/vita-aliena-di-gregory-corso-nella-roma.html ,,41.8933203,12.4829321
Jack Kerouac,"Riviera di Chiaia, 200, Napoli, Italy","October 3, 1969",Event,,"Jack Kerouac is invited by Alberto Mondadori to launch the Italian translation of Big Sur at Villa Pignatelli. During his stay, Kerouac lodges at the Hotel Royal Continental in Via Partenope 38, conducts interviews at Libreria Guida in Via Port'Alba 20, and eats at Le Arcate, in Via Aniello Falcone 249. He also climbs on stage at Otto Jazz Club in Salita Cariati 23, where he sings some old Sinatra tunes.",Launch of the Italian translation of Big Sur at Villa Pignatelli,"Elio Chinol, ""QUELLA SERA GLI GRIDARONO: FASCISTA!""in La Repubblica, October 21, 1989; ""Anche a Napoli Keoruac ubriaco,"" in La Stampa, October 4, 1966.",https://ricerca.repubblica.it/repubblica/archivio/repubblica/1989/10/21/quella-sera-gli-gridarono-fascista.html ,"Fernanda Pivano, Domenico Rea, Elio Chinol",40.8358846,14.2487679
