Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Lawrence Ferlinghetti,"Washington Square, San Francisco, United States",1976,Italian America,,,"""The Old Italians Dying""","Lawrence Ferlinghetti, ""The Old Italians Dying,"" in Landscapes of Living & Dying, New Directions,1979: 44-48. Accessed online http://www.scalponefamilytree.info/OldItaliansDyingPoem.htm ",http://www.scalponefamilytree.info/OldItaliansDyingPoem.htm,,37.8008647,-122.4101015
Lawrence Ferlinghetti,"Rome, Italy","December 13, 1968",Event,"Fell as if into an Inferno of Hieronymus Bosch, thru his Doors of Paradise, into this
fourmillant Rome, thrown headlong as it were into the midst of an enormous ant-hill,
where millions of creatures walked & moaned & laughed & ran & coughed & smoked & squirmed
& sang & lay down & rolled over & struggled for an inch of space, digging their ant-elbows
into their neighbors, gesticulating wildly.",,Visit to Rome,"Lawrence Ferlinghetti, ""Paris and Rome, December 1968,"" Writing Across the Landscape. Liveright, 2015: 173.",,,41.8933203,12.4829321
Lawrence Ferlinghetti,"Via Bocca di Leone, Rome, Italy","December 14, 1968",Event,,,Visit to Rome,"Lawrence Ferlinghetti, ""Paris and Rome, December 1968,"" Writing Across the Landscape. Liveright, 2015: 174.",,,41.9046697,12.4808003
Lawrence Ferlinghetti,"Catania, Italy","December 16, 1968",Event,,,Trip from Rome to Catania,"Lawrence Ferlinghetti, ""Paris and Rome, December 1968,"" Writing Across the Landscape. Liveright, 2015: 175.",,,37.5023612,15.0873718
Lawrence Ferlinghetti,"Taormina, Italy","December 1, 1968",Event,,,Visit to Catania and Taormina,"Lawrence Ferlinghetti, ""Paris and Rome, December 1968,"" Writing Across the Landscape. Liveright, 2015: 175.",,,37.8517921,15.2856523
Lawrence Ferlinghetti,"Coney Island, New York, United States",1958,Projected,,,Reference to Dante's Paradiso in A Coney Island of the Mind,"Lawrence Ferlinghetti, A Coney Island of the Mind City. Lights Books, 1958: 28.",,,40.575272,-73.99157
Lawrence Ferlinghetti,"Spoleto, Italy","June 27-July 2, 1965 ",Event,,,"Attended ""Festival dei Due Mondi""","Lawrence Ferlinghetti, ""Italian Journal, June 1965,"" Writing Across the Landscape. Liveright, 2015: 108.",http://www.comune.spoleto.pg.it/turismoecultura/wp-content/uploads/2021/02/programma-790x1024.jpg,"Yevgeny Yevtushenko, Ezra Pound",42.7355124,12.7363357
Lawrence Ferlinghetti,"Sicily, Italy","June 21, 1963",Projected,,,Lust for Sicily from Tunis,"Lawrence Ferlinghetti, Writing Across the Landscape. Liveright, 2015: 69.",,,37.587794,14.155048
Lawrence Ferlinghetti,"Genoa, Italy","June 22, 1963",Event,"Rome—nothing, Firenze—nothing, Pisa—nothing (all because of some nut who constructed a tower on soft ground), Rapallo—nothing (Ezra never made a dent in it)—all caught up in the Great Tourist Disease—the imbecile plague of the epoch (voir les Guides Michelin pour ces conneries touristiques). Finally—Genova, on a sunny Sunday morning—in an old square wedged in next to the docks on the edge of the port—three or four young types making music—two accordions, one sax and clarinet, and a singer—at a table in the little café garden—drinking and singing. In the South they are sunnier—here the accordion music catches the strange sadness of Genovese faces. ",,Visit to Genova,"Lawrence Ferlinghetti, Writing Across the Landscape. Liveright, 2015: 69.",,,44.40726,8.9338624
Lawrence Ferlinghetti,"Contrada da Cossere 20, Brescia, Italy",1958,Italian America,"While traveling from Rome to Naples, Ferlinghetti writes: ""The blood remembers. Or does not remember. America forgets Europe. Ferlinghetti forgets Ferlinghetti. The world turns; and continues turning; and the blood flows, from country to country, continent to continent, through the streets and rivers, to the sea. And the sea carries all away, tides of Napoli flooding into New York harbor, Mannahatta, bristling with spars and masts…""","Ferlinghetti's father, Carlo, was born in Brescia in 1984. The poet's Italian American identity largely forged his writing. In 2012, upon visiting his father's natal home, Ferlinghetti is mistaken for a burglar and arrested on illegal immigration charges.	",Carlo Ferlinghetti's Birthplace,"Lawrence Ferlinghetti, Writing Across the Landscape. Liveright, 2015: 313; Lawrence Ferlinghetti, ""Arrested in Brescia, October 12,"" in Writing Across the Landscape. Liveright, 2015: 415.",,,45.5398022,10.2200214
