Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Allen Ginsberg,"Piazza del Duomo, 4, Spoleto, Italy","July 8, 1967",Event,"Per oscenità. Per oscenità in questo paese annegato nel sesso (con donne seminude a far pubblicità a stufe elettriche e frigoriferi, con coiti e stupri di ogni genere in technicolor su tutti gli schermi, con reclames cinematografiche laidamente pornografiche) venne arrestato Ginberg per una poesia distribuita al pubblico del reading su pochissime copie stampate al ciclostile […] si dovette aspettare alcuni anni che il processo per oscenità finisse in una misteriosa insabbiatura giudiziaria basata su incomprensibili procedure. Quella sera a Spoleto alcune ore passate in commissariato a fare da interprete, poi finalmente fuori all’aperto, in cerca dell’appuntato che aveva causato, ignaro, il disastro con la denuncia per offrirgli (offerta imprevista) un mazzo di fiori per la sua certo gentile signora.","On July 9, after reading his poem “Who Be Kind To” at Teatro Caio Melisso, Ginsberg gets arrested in a cafè in Piazza del Duomo. In Spoleto, Ginsberg meets Ezra Pound, a poet admired by his father Louis. ",Attended and arrested at the Festival dei Due Mondi,"Fernanda Pivano. C’era una volta un Beat. Arcana, 1976; 110.","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,5/articleid,0115_01_1967_0161_0005_6779910/%20;%20https://allenginsberg.org/2017/06/saturday-june-17/","Alfonso Gatto, Giuseppe Ungaretti, Ezra Pound, Gregory Corso, John Berryman, Gian Carlo Menotti,  Patrick Creagh",42.7351331,12.73941378
Allen Ginsberg,"Piazza Matteotti, Forio, Italy","September 1, 1957",Event,"Mostly it is an Italian resort island, contrasting with Capri which is famously international. I’ll leave here tomorrow morning (Monday) on 5AM boat, catch Naples-Rome train, be in Rome by noon, catch plane that afternoon and arrive in Venice early tomorrow evening. Now sitting in the afternoon, relaxing with lemonade in shady cafe table, writing letters, everything very slow & calm — I’ve been on my feet most of the time till today, tramping, strolling & climbing. 
Found a hostel here, spent last evening arguing furiously & angrily with Auden on the merits of Whitman at a cafe table in “Marie’s Bar” in town of Forio.","Allen Ginsberg visits W.H. Auden in his Ischia's summer home, where the two get into a heated argument about the merits of Walt Whitman and the sensibility that informs New American Poetry.",Meeting and fight with W.H. Auden,"Allen Ginsberg and Louis Ginsberg. Family Business: Selected Letters Between a Father and a Son. Bloomsbury, 2001: 68-70.",https://allenginsberg.org/2011/09/w-h-auden-1907-1973/,W.H. Auden,40.73655215,13.8586126
Allen Ginsberg,"Via Bertola, 6/e, Torino","September 19, 1967",Event,"Il piccolo locale era stracolmo: capelloni dagli stravaganti abiti variopinti, studenti, qualche artista [...] Ginsberg, puntuale, ha iniziato recitando alcune sue poesie pubblicate di recente in un volume edito in Italia. Poi, suonando un monotono organo indiano, ha cantato a lungo ispirandosi alle nenie sacre indù.","Ginsberg
recites his poems
accompanied by
music.",Recital of Jukebox all'idrogeno at Libreria Hellas,"""Il <<recital>> di Ginsberg tra i capelloni torinesi"" in La Stampa, September 20, 1967.","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,7/articleid,0116_01_1967_0223_0007_5033236/","Angelo Pezzana, Nanda Pivano",45.0732542,7.6720684
Allen Ginsberg,"Piazza di Spagna, Rome, Italy","September 4, 1967",Event,"Il poeta americano Alien Ginsberg è stato fermato ieri pomeriggio dalla polizia a Piazza di Spagna mentre si trovava in compagnia di un gruppo di
 «capelloni». Condotto con i suoi amici nella sede del primo distretto di polizia è stato rilasciato dopo tre ore. Indossava una vivace maglietta su 
cui spiccavano i suoi lunghi capelli e la folta barba incolta. […] Sul petto aveva un distintivo che recava la scritta: «Stop the war in Vietnam now»
 (basta con la guerra nel Vietnam subito). Evidentemente gli agenti non lo hanno riconosciuto, la loro azione non era certamente diretta soltanto 
contro di lui e Ginsberg è stato costretto a subire la sorte dei suoi giovani amici. Quando è stato rilasciato non ha nascosto la sua irritazione per 
l'episodio definendolo « illegale » l'azione della polizia contro questi ragazzi «ha hanno il solo torto di portare i capelli lunghi».","Allen Ginsberg is
arrested for the
second time
during his
Italian stay, this
time for hanging
out with other
hippies
(""capelloni"").",Arrested in Rome,"""Il poeta <<beat>> Ginsberg fermato in una retata di capelloni a Roma"" in La Stampa, September 6, 1967. ","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,7/articleid,0116_01_1967_0210_0007_5029896/",,41.9057477,12.4821294
Allen Ginsberg,"3219 Calle Carrozze, Venice, Italy","August 22, 1957",Event,"Allen and Peter visited all the museums and churches of Venice, discovering ancient landmarks at every turn of the dark mysterious passageways. Although Allen didn’t appreciate the Venetian artists as much as he did the Florentine painters of the High Renaissance, he grew to like the sad, troubled paintings of Titian, and the work of Giorgione, whom he compared in sentiment to Keats.","Peter Orlowsky and Allen Ginsberg visit Alan Ansen in Venice before heading to Paris to see Gregory Corso. During their stay, they started a feud with wealthy art collector Peggy Guggenheim, who grew aghast at their ""rude behavior."" ",First trip to Venice,"Bill Morgan, I Celebrate Myself: The Somewhat Private Life of Allen Ginsberg. Penguin, 2007: 251-254.",,"Peter Orlowsky, Alan Ansen, Peggy Guggenheim",45.433439,12.3279107
Allen Ginsberg,"Venice, Italy","August, 1960",Projected,"There in Venice glittering in Canal Grande in Front of San Giorgio
Maggiore Gondola' d to cream the fabulous tourist [...]
Long horns of Montpellier, Milan screaming and San Marco rocking in
Venice like a great golden calliope.",Poem,First trip to Venice,"Allen Ginsberg, Collected Poems, 1947-1997. Penguin, 2001.",,,45.4371908,12.3345898
Allen Ginsberg,"Naples, Italy","August 1, 1957",Event,"In Naples, Allen went to the museum, specifically to see the pornography salvaged from Pompeii, and climbed Mount Vesuvio in the afternoon. Then he walked through the ruins of Pompeii itself and saw the sunset from Herculaneum. The following day he took a ferry out to Capri and from there went on to Ischia, a jagged volcanic island a few miles out in the Tyrrhenian Sea, surrounded by the clearest blue water he had ever seen.",Ginsberg sees Pompeii and Mount Vesuvius.,First trip to Naples,"Bill Morgan, I Celebrate Myself: The Somewhat Private Life of Allen Ginsberg. Penguin, 2007: 251-254.",,Peter Orlowsky,40.8358846,14.2487679
Allen Ginsberg,"Firenze, Italy","July 27, 1957",Event,"Allen continued to have “museum fever” and on July 27 he and Peter left to see the treasures of Florence and Rome. They wanted to see more Fra Angelico and Giotto paintings and spent a long time in the Uffizi. The  museum was filled with pictures of visions and glimpses into mystical events that seemed to speak directly to Allen. It was difficult to decide what masterpiece to concentrate on first; da Vinci, Botticelli, Giotto, and Angelico were all in abundance there. They ended the day by snapping happy pictures of each other in the sunlight on the Ponte Vecchio. Years later, Ansen gave credit to Allen for encouraging him to write verse that summer, which led to the publication of at least half a dozen books of poetry during the rest of his life.",,First trip to Florence,"Bill Morgan, I Celebrate Myself: The Somewhat Private Life of Allen Ginsberg. Penguin, 2007: 251-254.",,Peter Orlowsky,43.7698712,11.2555757
Allen Ginsberg,"Rome, Italy","August 1, 1957",Event,,"Upon reaching Rome on August 1, Ginsberg and Orlovski set out on foot to explore the expansive city, traversing from the Coliseum to the Pantheon. They started their tour by visiting St. Peter’s Basilica, followed by a leisurely stroll along the Tiber River to the Protestant cemetery, the resting place of poets Shelley and Keats. Ginsberg, moved by the experience, shed tears over Keats’s grave and paid his respects to Shelley's by kissing his tombstone and taking a clover as a keepsake. Each day, Ginsberg, quite the tireless tourist, roamed the city, capturing moments with Orlovski amidst the city's historic ruins. The sight of fig leaves obscuring the nudity of Greek and Roman sculptures at the Vatican museums infuriated Ginsberg, especially after admiring Michelangelo’s unabashedly nude statue of David in Florence. On his last day in Rome, Ginsberg visited Keats's former residence by the Spanish Steps, but lacked the small entrance fee to see the room where Keats succumbed to tuberculosis.",First trip to Rome,"Bill Morgan, I Celebrate Myself: The Somewhat Private Life of Allen Ginsberg. Penguin, 2007: 251-254.",,Peter Orlowsky,41.8933203,12.4829321
Allen Ginsberg,"Assisi, Italy","August 3, 1957",Event,,"Ginsberg and Orlovski took a train to Assisi to admire the renowned Giotto frescoes. With their funds depleted, they spent the night on the grass outside the Basilica di San Francesco, a spot sacred to one of Ginsberg's idols, St. Francis. As they spent a restless night under the moon, they experienced a shared, fear-inducing vision. Come morning, they were awakened by the bells of the town's churches. An argument ensued between Ginsberg and a local priest over the fig leaves adorning Vatican statues, an addition Ginsberg saw as a desecration. Despite their struggles, the pair emulated St. Francis, begging for sustenance and engaging in religious discussions with local priests. They even ventured into the hills to visit St. Francis' retreat for meditation. They later clashed with the priests over their unauthorized camping, but also encountered kindness from an American priest who showed them the Porziuncola, the first chapel where St. Francis preached. The irony of the humble chapel's location within the opulent Santa Maria degli Angeli Church wasn't lost on them. Leaving Assisi, they hitchhiked to Perugia, admired Perugino's art in the Galleria Nazionale, before clandestinely boarding a train back to Venice.",Visit to Assisi,"Bill Morgan, I Celebrate Myself: The Somewhat Private Life of Allen Ginsberg. Penguin, 2007: 251-254.",,Peter Orlowsky,43.0711952,12.6146669
