Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Bob Dylan,"129 Mulberry Street, New York, NY",30 July 1975,Italian America,,"The song ""Joey"" depicts a sketch of Italian-American mobster Joey Gallo's life. Gallo was killed in Little Italy New York in 1972.","Reference to Italian American Mobster ""Crazy Joe"" Gallo in ""Joey""","Bob Dylan and Jaques Levy, ""Joey,"" in Desire. Columbia, 1975.",https://www.youtube.com/watch?v=Xew67ZHWwLA,,40.7183168,-73.9979434
Gregory Corso,"North Beach, San Francisco",1970,Italian America,"When Stevenson in 1956 came to San Francisco he campaigned in what he thought was an Italian section! He spoke of Italy and Joe DiMaggio and spaghetti, but all who were there, all for him, were young beatniks!",,"""America Politica Historia, In Spontaneity""","Gregory Corso, Elegiac Feelings American. New Directions, 1970: 123-124.",,,37.8011749,-122.4090021
Gregory Corso,"Via Castello, Miglionico, Italy",,Italian America,,,Michelina Colonna's (Corso's mother) Birthplace,,,,40.5686055,16.5002153
Gregory Corso,Calabria,,Italian America,,,Sam Corso's Birthplace,,,,39.0565974,16.5249864
Diane Di Prima,"Santi Cosma e Damiano, Italy",1971,Italian America,"Today is your
birthday and I have tried
writing these things before,
but now
in the gathering madness, I want to
thank you
for telling me what to expect
for pulling
no punches, back there in that scrubbed Bronx parlor
thank you
for honestly weeping in time to
innumerable heartbreaking
italian operas for
pulling my hair when I
pulled the leaves off the trees so I'd
know how it feels, we are
involved in it now, revolution, up to our
knees and the tide is rising, I embrace
strangers on the street, filled with their love and
mine, the love you told us had to come or we
die, told them all in that Bronx park, me listening in
spring Bronx dusk, breathing stars, so glorious
to me your white hair, your height your fierce
blue eyes, rare among italians, I stood
a ways off, looking up at you, my grandpa
people listened to, I stand
a ways off listening as I pour out soup
young men with light in their faces
at my table, talking love, talking revolution
which is love, spelled backwards, how
you would love us all, would thunder your anarchist wisdom
at us, would thunder Dante, and Giordano Bruno, orderly men
bent to your ends, well I want you to know
we do it for you, and your ilk, for Carlo Tresca,
for Sacco and Vanzetti, without knowing
it, or thinking about it, as we do it for Aubrey Beardsley
Oscar Wilde (all street lights shall be purple), do it
for Trotsky and Shelley and big/dumb
Kropotkin
Eisenstein's Strike people, Jean Cocteau's ennui, we do it for
the stars over the Bronx
that they may look on earth
and not be ashamed.","Poem written by Di Prima for Domenico Mallozzi, her Italian American grandfather. Mallozzi was a tailor and anarchist—he was rumored to be friends with Emma Goldman—who had immigrated from San Cosimo and Damiano, a small town in the Latina provice of Italy. Domenico and his wife Antonietta Rossi landed in the United States in 1898 and took residence at 69 Thompson Street.","""April Fool Birthday Poem for Grandpa""","Diane Di Prima, ""April Fool Birthday Poem for Grandpa,"" Revolutionary Letters. City Lights, 1971: 5.",https://www.youtube.com/watch?v=obk1dGLm_1g,,41.3001731,13.8139274
Diane Di Prima,"New York City, USA",2001,Italian America,"My earliest sense of what it means to be a woman was learned from my grandmother, Antoinette Mallozzi, and at her knee... She smelled of lemons and olive oil, garlic and waxwes and mysterious herbs.",,References to Italian Grandmother in Recollections of My Life as a Woman,"Diane Di Prima, Recollections of My Life as a Woman. Viking, 2001.",,,40.7127281,-74.0060152
Philip Lamantia,"Palermo, Italy",,Italian America,"Philip Nunzio Lamantia was born at home, at 1715 Sanchez Street, in San Francisco, on October 23, 1927, the only child of Sicilian immigrants Nunzio and Mary Lamantia [...] Nunzio had immigrated from Palermo to the United States in his late teens and had served in the American army in World War I. Mary (née Tarantino) came from a large, impoverished family from the tiny Sicilian island of Ustica.",,Nunzio Lamantia's Birthplace,"""High Poet: The Life and Work of Philip Lamantia,"" in The Collected Poems of Philip Lamantia edited by Garrett Caples, Nancy Joyce Peters and Andrew Joron. University of California Press, 2013: xxiii-lxiv.",,,38.1112268,13.3524434
Philip Lamantia,"1715 Sanchez Street, San Francisco, CA, USA",,Italian America,"“Philip Nunzio Lamantia was born at home, at 1715 Sanchez Street, in San Francisco, on October 23, 1927, the only child of Sicilian immigrants Nunzio and Mary Lamantia [...] Nunzio had immigrated from Palermo to the United States in his late teens and had served in the American army in World War I. Mary (née Tarantino) came from a large, impoverished family from the tiny Sicilian island of Ustica.” ",,Philip Lamantia's Birthplace,"""High Poet: The Life and Work of Philip Lamantia,"" in The Collected Poems of Philip Lamantia edited by Garrett Caples, Nancy Joyce Peters and Andrew Joron. University of California Press, 2013: xxiii-lxiv.",,,37.7415896,-122.4288055
Philip Lamantia,"Ustica, Italy",,Italian America,"“Philip Nunzio Lamantia was born at home, at 1715 Sanchez Street, in San Francisco, on October 23, 1927, the only child of Sicilian immigrants Nunzio and Mary Lamantia [...] Nunzio had immigrated from Palermo to the United States in his late teens and had served in the American army in World War I. Mary (née Tarantino) came from a large, impoverished family from the tiny Sicilian island of Ustica.” ",,Mary Tarantino Lamantia's Birthplace,"""High Poet: The Life and Work of Philip Lamantia,"" in The Collected Poems of Philip Lamantia edited by Garrett Caples, Nancy Joyce Peters and Andrew Joron. University of California Press, 2013: xxiii-lxiv.",,,38.7104559,13.1912999
Philip Lamantia,"Miami Beach, FL, USA",1955-1962,Italian America,"Al Capone you were a tower in the midst of/
Al Capone you were a strike breaker! a blight on the radical movement
The Italian anarchists hated you, Al Capone!
However some remember with glee the good old days
of the Capone era, bootleggers, jazz buffs, boxers and junkies/
Al Capone——yr foot, yr stinking black foot! it’s a black lyre
out of the pythagorean scale!
Al Capone—it’s cool, ok, it’s the end!
Al Capone you have no singer
You were not Giuliano, hero of the people!
I refuse to sing you, Al Capone
I go on, we all go on
Giuliano’s a myth and your felt grey hat floats flat lands usa to spume ridge of Trinacria where the Door to Hades is
—racetrack around the pool of Persephone—
Sicily, yr dark mother, Al Capone!      requiescat in pace/",,Poem about Al Capone's Passing,"Philip Lamantia, ""Rest in Peace,"" in The Collected Poems of Philip Lamantia. University of California Press, 2013: 117-118.",https://open.spotify.com/track/4DDrzf9EAFIrT0CcJz9oTy,,25.7929198,-80.1353006
