Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Jack Kerouac,"Riviera di Chiaia, 200, Napoli, Italy","October 3, 1969",Event,,"Jack Kerouac is invited by Alberto Mondadori to launch the Italian translation of Big Sur at Villa Pignatelli. During his stay, Kerouac lodges at the Hotel Royal Continental in Via Partenope 38, conducts interviews at Libreria Guida in Via Port'Alba 20, and eats at Le Arcate, in Via Aniello Falcone 249. He also climbs on stage at Otto Jazz Club in Salita Cariati 23, where he sings some old Sinatra tunes.",Launch of the Italian translation of Big Sur at Villa Pignatelli,"Elio Chinol, ""QUELLA SERA GLI GRIDARONO: FASCISTA!""in La Repubblica, October 21, 1989; ""Anche a Napoli Keoruac ubriaco,"" in La Stampa, October 4, 1966.",https://ricerca.repubblica.it/repubblica/archivio/repubblica/1989/10/21/quella-sera-gli-gridarono-fascista.html ,"Fernanda Pivano, Domenico Rea, Elio Chinol, Lucia Rea, Pellegrino Sarno",40.8358846,14.2487679
Jack Kerouac,"Via Fatebenefratelli 21, Milan, Italy","September 29, 1966",Event,,Kerouac's attitude towards the press during the book launch at the Mondadori headquarter is highly criticized by the media. Gian Pieretti opens the event by singing songs by Bob Dylan. Kerouac spends the majority of his tumultuous stay in Milan at the Hotel Cavour. ,Launch the Italian translation of Big Sur in Milan,"""Lo scrittore <<Beat>> Kerouac a Milano si presenta ubriaco ai giornalisti,"" in La Stampa, September 29, 1966. See also Alessandro Manca, Kerouac, Viaggio in Italia - Un giorno a Milano. Le Stade Bianche di Stampa Alternativa, 2019. ","http://www.archiviolastampa.it/component/option,com_lastampa/task,search/mod,libera/action,viewer/Itemid,3/page,3/articleid,0111_01_1966_0221_0003_5450216","Nanda Pivano, Marisa Bulgheroni, Ferruccio Parazzoli, Luciano Bianciardi, Mario Spinella, Alberto Mondadori, Gian Pieretti, Giorgio Logiri, Daniele Lombardo, Ettore Sottsass, Domenico Porzio",45.4726261,9.1943597
Jack Kerouac,"Brescia, Italy",1966,Projected,"I’d-a done better staying home and painting the “Mystical Marriage of St. Catherine” after Girolamo Romanino but I’m so enslaved to yak and
tongue, paint bores me, and it takes a lifetime to learn how to paint.",Kerouac writes abouta painting by Gerolamo Romanino from Brescia. ,Reference to a painting by Girolamo Romanino in Satori in Paris,"Kerouac, Jack, Satori in Paris. Grove Press, 1966: 48.",,,45.5398022,10.2200214
Jack Kerouac,"Via Sicilia 136, Roma, Italy","September 29,  1966",Event,,Introduced by Antonio Barolini and Enzo Golino. Gian Pieretti opened the event by singing songs by Bob Dylan.,Launch of the Italian translation of Big Sur at Mondadori's Roman headquarter.,"Alessandro Manca, Kerouac, Viaggio in Italia - Due giorni a Roma. Le Stade Bianche di Stampa, 2021: 9-10.",https://www.lastampa.it/cultura/2013/08/20/news/roma-l-ubriaco-pestato-a-sangue-1.36064682/,"Gian Pieretti, Giorgio Logiri, Nanda Pivano, Antonio Barolini, Enzo Golino, Giovanni Russo, Alberto Arbasino, Domenico Porzio, Adriano Mazzoletti, Ivelise Ghione, Alberto Sartoris, Donato Castellaneta, Massimo Ghirelli, Giuseppe De Santis, Cesare Garboli, adriano Mazzoletti",41.908956,12.492509
Jack Kerouac,"Via del Babuino 196, Rome, Italy","September 30, 1966",Event,,"Kerouac tours art galleries and churches with Franco Angeli. Kerouac and Angeli also work together on a painting, ""La deposizione di Cristo."" ",Visit to Galleria La Tartaruga,"Alessandro Manca, Kerouac, Viaggio in Italia - Due giorni a Roma. Le Stade Bianche di Stampa, 2021: 17. ",https://www.artribune.com/arti-visive/2018/03/attualita-critica-societa/attachment/franco-angeli-e-jack-kerouac-deposizione-di-cristo-1966-_2/,Franco Angeli,41.909729,12.477468
Jack Kerouac,"Piazza del Popolo 12, Rome, Italy","September 30, 1966",Event,,Kerouac tours art galleries and churches with Franco Angeli. ,Visit to Cappella Cerasi (Chiesa Santa Maria del Popolo),"Osvaldo Guerrieri ""Roma, l’ubriaco pestato a sangue"" in La Stampa, August 20, 2013.",https://www.lastampa.it/cultura/2013/08/20/news/roma-l-ubriaco-pestato-a-sangue-1.36064682/,Franco Angeli,41.91147275,12.47654627
Jack Kerouac,"Via Rasella 3, Rome, Italy","September 30, 1969",Setting,"Adesso gli frughiamo nel taccuino, e troviamo scritto: «Se
l’Italia deve diventare la custode della chiesa, secondo la pro-
fezia, che cominci subito». «Garibaldi ha freddo, il cavallo è
scoperto». «Raffaello, così languido». «Te la ricorderai, una
ragazzina un po’ maschile di Roma?» E a Milano, dopo un
incontro di traduttori: «Dolci donne milanesi con amanti cru-
deli»","Alberto Arbasino peeks into Kerouac's notepad, during an interview in Rome's Albergo Barberini.",Notes Taken During Italian Trip,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,41.902744,12.489207
Jack Kerouac,"Dubrovnik, Croatia",1958,Projected,"I'm going to write a book myself, it'll be about Ragusa, a late medieval maritime city state
republic which solved the class problem, offered the secretaryship to Machiavelli and for a generation had its lan-guage used as the
diplomatic one for the Levant.",,Reference to the Republic of Ragusa and Machiavelli in Dharma Bums,"Jack Kerouac, The Dharma Bums. The Viking Press, 1958: 43.",,,42.64873625,18.09468015
Jack Kerouac,"Pavia, Italy","September 30, 1966",Projected,"Ieri sera aveva detto a Porzio: in Italia vorrei visitare soprattutto Pavia, Padova, Bologna. E anche: il miglior poeta italiano è Gregory Corso.","During a conversation with Domenico Porzio (head of PR for Mondadori), Kerouac expresses his desire to visit Pavia, Padova, and Bologna. He also suggests that Gregory Corso is the best poet Italy's ever had.",Conversation with Domenico Porzio,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,45.1860043,9.1546375
,"Padova, Italy","September 30, 1966",Projected,"Ieri sera aveva detto a Porzio: in Italia vorrei visitare soprattutto Pavia, Padova, Bologna. E anche: il miglior poeta italiano è Gregory Corso.","During a conversation with Domenico Porzio (head of PR for Mondadori), Kerouac expresses his desire to visit Pavia, Padova, and Bologna. He also suggests that Gregory Corso is the best poet Italy's ever had.",Conversation with Domenico Porzio,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,45.4077172,11.8734455
