Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Bob Dylan,Italy,"March 19, 1962",Projected,"Forsake, forsake your house carpenter
And come away with me
I’ll take you where the green grass grows
On the shores of sunny Italy",,"Reference to Italy in ""House Carpenter""","Bob Dylan, ""House Carpenter,"" in The Bootleg Series, Volumes 1-3. Columbia, 1962.",https://www.youtube.com/watch?v=02TjjKsRtRc,,42.6384261,12.674297
Bob Dylan,"Perugia, Italy","September 7, 1962",Projected,"
Yes, the ocean took my baby
My baby took my heart from me
She packed it all up in a suitcase
Lord, she took it away to Italy, Italy",Recorded at Columbia's Studio A.,"Reference to Suze Rotolo's trip to Perugia in ""Down the Highway""","Bob Dylan, ""Down the Highway,"" in The Freewheelin' Bob Dylan. Columbia, 1962.",https://www.youtube.com/watch?v=RDHiZYgUaVg,,43.1119613,12.3890104
Bob Dylan,"Rome, Italy","February 8, 1963",Projected,"Well- Well, you know I’m lying
But don’t look at me with scorn
Well, you know I’m lying
But don’t look at me with scorn
Well, I’m going back to Rome
That’s where I was born

Buy me an Italian talking parrot
Keep it for my friends
Buy me an Italian talking parrot
Keep it for my friends
Don’t talk to Italy
All around its bend

You can keep Madison Square Garden
Give me the Coliseum
You can keep Madison Square Garden
Give me the Coliseum
Don't want to see the gladiators
Man, I can always see ’em",Performed at Gerde's Folk City,"""Goin' Back to Rome""","Bob Dylan, ""Goin' Back to Rome,"" live recording at Gerde's Folk City from February 8, 1963.",https://www.youtube.com/watch?v=ahiCwovZ0kQ,,41.8933203,12.4829321
Bob Dylan,Italy,"September 16, 1974",Projected,"Someone's got it in for me, they're planting stories in the press
Whoever it is I wish they'd cut it out quick, but when they will I can only guess
They say I shot a man named Gray and took his wife to Italy
She inherited a million bucks and when she died it came to me
I can't help it if I'm lucky",,"Reference to Italy in ""Idiot Wind""","Bob Dylan, ""Idiot Wind,"" in Blood on the Tracks. Columbia, 1974.",https://www.youtube.com/watch?v=w8DylAtPF0I,,42.6384261,12.674297
Bob Dylan,"Rome, Italy",16-19 March 1971,Projected,"Oh, the streets of Rome are filled with rubble
Ancient footprints are everywhere
You can almost think that you’re seein’ double
On a cold, dark night on the Spanish Stairs
Got to hurry on back to my hotel room
Where I’ve got me a date with Botticelli’s niece
She promised that she’d be right there with me
When I paint my masterpiece

Oh, the hours I’ve spent inside the Coliseum
Dodging lions and wastin’ time
Oh, those mighty kings of the jungle, I could hardly stand to see ’em
Yes, it sure has been a long, hard climb
Train wheels runnin’ through the back of my memory
When I ran on the hilltop following a pack of wild geese
Someday, everything is gonna be smooth like a rhapsody
When I paint my masterpiece
[...]
Sailin’ round the world in a dirty gondola
Oh, to be back in the land of Coca-Cola!
[...]
I left Rome and landed in Brussels
On a plane ride so bumpy that I almost cried
Clergymen in uniform and young girls pullin’ muscles
Everyone was there to greet me when I stepped inside
Newspapermen eating candy
Had to be held down by big police
Someday, everything is gonna be diff’rent
When I paint my masterpiece",,"References to Rome in ""When I Paint My Masterpiece""","Bob Dylan, ""When I Paint My Masterpiece,"" in Bob Dylan's Greatest Hits, Vol. II. Columbia, 1971.",https://www.youtube.com/watch?v=lZQ69w8NmxI,Great,41.8933203,12.4829321
Gregory Corso,"Rome, Italy",1962,Projected,"but you are old old you are Rome the wisdom of
time — and no crow maketh your snowy head
its home",,"Reference to Ancient Rome in ""After Reading 'in the Clearing'""","Gregory Corso, ""After Reading 'in the Clearing',"" in Long Live Man. New Directions: 1962.",,,41.8933203,12.4829321
Philip Lamantia,"Assisi, Italy",1986-1993,Projected,"This kind of day
is a cosmic conflict
to go with the flow To throw in the sponge is not enough The beginning of Forms in
Motion to move like Ubu into Reality not on the way to Albania
but with gusto as
in the Italian model
to be hailed here in Francis d’Assisi Town
actually
ohlonia",,"Reference to Assisi in ""from No Closure""","Philip Lamantia, ""from No Closure,"" in The Collected Poems of Philip Lamantia. University of California Press, 2013: 393-395",,,43.0711952,12.6146669
Jack Kerouac,"Brescia, Italy",1966,Projected,"I’d-a done better staying home and painting the “Mystical Marriage of St. Catherine” after Girolamo Romanino but I’m so enslaved to yak and
tongue, paint bores me, and it takes a lifetime to learn how to paint.",Kerouac writes abouta painting by Gerolamo Romanino from Brescia. ,Reference to a painting by Girolamo Romanino in Satori in Paris,"Kerouac, Jack, Satori in Paris. Grove Press, 1966: 48.",,,45.5398022,10.2200214
Jack Kerouac,"Dubrovnik, Croatia",1958,Projected,"I'm going to write a book myself, it'll be about Ragusa, a late medieval maritime city state
republic which solved the class problem, offered the secretaryship to Machiavelli and for a generation had its lan-guage used as the
diplomatic one for the Levant.",,Reference to the Republic of Ragusa and Machiavelli in Dharma Bums,"Jack Kerouac, The Dharma Bums. The Viking Press, 1958: 43.",,,42.64873625,18.09468015
Jack Kerouac,"Pavia, Italy","September 30, 1966",Projected,"Ieri sera aveva detto a Porzio: in Italia vorrei visitare soprattutto Pavia, Padova, Bologna. E anche: il miglior poeta italiano è Gregory Corso.","During a conversation with Domenico Porzio (head of PR for Mondadori), Kerouac expresses his desire to visit Pavia, Padova, and Bologna. He also suggests that Gregory Corso is the best poet Italy's ever had.",Conversation with Domenico Porzio,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,45.1860043,9.1546375
,"Padova, Italy","September 30, 1966",Projected,"Ieri sera aveva detto a Porzio: in Italia vorrei visitare soprattutto Pavia, Padova, Bologna. E anche: il miglior poeta italiano è Gregory Corso.","During a conversation with Domenico Porzio (head of PR for Mondadori), Kerouac expresses his desire to visit Pavia, Padova, and Bologna. He also suggests that Gregory Corso is the best poet Italy's ever had.",Conversation with Domenico Porzio,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,45.4077172,11.8734455
,"Bologna, Italy","September 30, 1966",Projected,"Ieri sera aveva detto a Porzio: in Italia vorrei visitare soprattutto Pavia, Padova, Bologna. E anche: il miglior poeta italiano è Gregory Corso.","During a conversation with Domenico Porzio (head of PR for Mondadori), Kerouac expresses his desire to visit Pavia, Padova, and Bologna. He also suggests that Gregory Corso is the best poet Italy's ever had.",Conversation with Domenico Porzio,"Alberto Arbasino, ""Beatnik in pensione,"" in L'Espresso, October 9, 1966.
",http://temi.repubblica.it/espresso-il68/1966/10/09/beatnik-in-pensione/,,44.4938203,11.3426327
Jack Kerouac,New York City,1968,Projected,"I'll get out of here, we'll get married, right now, we'll go to Detroit and I'll get a job in a war plant and pay her off her hundred dollars (or your father might lend
it) but in any case let's get married""—my father having abandoned me the first thing I thought of was getting married—""and then I'll get a ship and ship out to Italy or France or someplace and send you my allowance.""",,Dreams of Sailing to Italy in Vanity of Dulouz,"Jack Kerouac, Vanity of Duluoz. G.P. Putnams's Sons, 1968: 250.",,,40.7127281,-74.0060152
Jack Kerouac,"Sicily, Italy",1968,Projected,"It was October 1944, ships were now headed for other interesting shores like Italy, Sicily, Casablanca, I think even Greece.",,Reference to Sicily in Vanity of Duluoz,"Jack Kerouac, Vanity of Duluoz. G.P. Putnams's Sons, 1968: 257.",,,37.587794,14.155048
Jack Kerouac,Italy,1968,Projected,"But the mysterious beautiful thing of going to sea occurred that night: just a few hours after all that junk of bars, fighting,
streets, subways, boom, there I am standing by whipping shrouds and snapping lines in the Atlantic Ocean in the night
off New Jersey, we're sailing south to Norfolk to load on for Italy, everything is washed away by the clean sea, I can remem-
ber the judge's remark about the sailor in the storm is safer than the sailor on land. The stars are big, they rock side to side
like Galileo drunk and Kepler stoned and Copernicus thinking, like Vasco da Gama in his bunk in thought, the wind, the
cleanness, the dark, the quiet blue light in the bridge where hand holds wheel and course is set.",,Dreams of Sailing to Italy in Vanity of Dulouz,"Jack Kerouac, Vanity of Duluoz. G.P. Putnams's Sons, 1968: 260.",,,42.6384261,12.674297
