Author,Location,Date,Kind,Quote,Description,Event,Source,Resources,Notable People Involved,lat,lon
Bob Dylan,"Piazza Navona, Rome","January or February, 1963",Setting,"This is also where I stay sometime - it snowed last week and my guards as you can see got all covered with snow - bolla regatza everywhere - If I don't open my mouth in this town, everyone thinks I'm Italian (unbelieveable but true I swear). Going to Toreno [sic] tomorrow bella rapatza all over - around the street, swimming in the air - unbelieveable (oh, you're so Italian). Funny, I always thought Italians were Mama Rosas and Anna Mananis [sic] - but they're all Sophia Lorens - I'm learning a song called ""Se Dio Vorra"". Gotta go, gotta meeting with the Pope about all the colored people coming over here, Amore, Bob",Postcard sent by Dylan to Suze Rotolo during his stay in Rome.,Postcard to Suze Rotolo from Piazza Navona,"Carrera, Alessandro, 2009. “Oh, the Streets of Rome: Dylan in Italy” in Highway 61 Revisited. Minneapolis, MN:
University of Minnesota Press. Pp. 85-86.
",https://www.christies.com/lot/lot-bob-dylan-4818899/ ,,41.8989155,12.47311854
Gregory Corso,"Rome, Italy",1988,Setting,"Oh Roma! Io molto tragico, io no home, no papa, no mamma. Ah, no dente! No bella donna, no Dio, niente solo io! A Roma... ",Recorded in Milan.,"""Ah Roma!""","""Ah Roma! – Corso & Kuipers,"" in The Allen Ginsberg Project, July 9, 2012. ",https://allenginsberg.org/2012/07/ah-roma-corso-kuipers/,Francis Kuipers,41.8933203,12.4829321
Gregory Corso,"Florence, Italy",1958,Setting,"No sign of Spring!
Florentine sentinels
from icy campanili watch for a sign—
Lorenzo dreams to awaken bluebirds Ariosto
sucks his thumb.
Michelangelo sits forward on his bed . . .
awakened by no new change.
Dante pulls back his velvet hood, his eyes are
deep and sad.
His great dane weeps.
No sign of Spring!
Leonardo paces his unbearable room . . . holds
an arrogant eye on die-hard snow. Raffaelo steps
into a warm bath ... his long silken hair is dry
because of lack of sun.
Aretino remembers Spring in Milan; his mother,
who now, on sweet Milanese hills, sleeps.
No sign of Spring! No sign!
Ah, Botticelli opens the door of his studio.",,"References to Milan and Florence in ""Botticelli’s ‘Spring”","Gregory Corso, ""Botticelli's Spring"" in Gasoline & Vestal Lady. City Lights, 1958: 34.",,,43.7698712,11.2555757
Gregory Corso,"Milan, Italy",1958,Setting,"No sign of Spring!
Florentine sentinels
from icy campanili watch for a sign—
Lorenzo dreams to awaken bluebirds Ariosto
sucks his thumb.
Michelangelo sits forward on his bed . . .
awakened by no new change.
Dante pulls back his velvet hood, his eyes are
deep and sad.
His great dane weeps.
No sign of Spring!
Leonardo paces his unbearable room . . . holds
an arrogant eye on die-hard snow. Raffaelo steps
into a warm bath ... his long silken hair is dry
because of lack of sun.
Aretino remembers Spring in Milan; his mother,
who now, on sweet Milanese hills, sleeps.
No sign of Spring! No sign!
Ah, Botticelli opens the door of his studio.",,References to Milan and Florence in ‘Botticelli’s ‘Spring”,"Gregory Corso, ""Botticelli's Spring"" in Gasoline & Vestal Lady. City Lights, 1958: 34.",,,45.4641943,9.1896346
Gregory Corso,"Piazza San Marco 1, Venice, Italy",1962,Setting,"I where I stand Venice Aging my modern vision
on winged lions Impossible dreamer of cloaks
and masks Counting passion madrigals
variegated figs Where I stand Venice aging
counting
Peepholes in my Ducal Palace stay I simply saw
the proudest Doge Superior favorable come to
steal Some wandering look from my eyes
I where I stand",,"Palazzo Ducale in ""I Where I Stand""","Gregory Corso, ""I Where I Stand,"" in Long Live Man. New Directions: 1962.",,,45.4344601,12.3391221
Gregory Corso,"Rome, Italy",1989,Setting,"Poor Italia
Now that I’m in Italy older
I meet these angel ladies of the
Great War
and smart are they,
the children of fascists
they moan, “Oh Gregory, we are
the product of our fathers""",,"""A Poem Begun to See How Good My Head Still is""","Gregory Corso, ""A Poem Begun to See How Good My Head Still is,"" in Mindfield. Thunder's Mouth, 1989: 31.",,,41.8933203,12.4829321
Gregory Corso,"Castel di Tusa, Italy",1990,Setting,"Dalla materia che non esiste
sono entrato in un labirinto
uscito e salito su un’onda blu
ho poi finito discendendo una caverna
stanco; passai per un albergo sfatto
e là sognai una casa finale
Il fiume scorre sotto al mare
e una finestra dischiude il cielo
mi chiedo se mai vedrò
una mucca porporina volare
Qui in Sicilia
Dio, Cristo, la Madonna,
Lei la madre di suo padre
figlia di suo figlio
Altrove; la divina stella rossa di Marx
si oscura
Tanto tempo fa Serse ispezionando le sue vaste
divisioni gridò: Tra cento anni non saranno più!
Sicilia non Italia
Palermo tragico
Santo Stefano bello
Un giovane ricco sa che morirà
Egli crea la bellezza
e mi domanda perché?
Io, anch’io sto morendo
in vista di tutto ciò
il compito di quel che accade in vita
potrebbe essere possibilmente vero
io dico: restaura le tue case
e bada alla semina della tua terra
possiamo sempre attraversare lo stretto di Messina
Quando un tipo come me cambia terreno
non è senza uno scopo
Sono sempre nei pasticci con gli italiani
le mie parole non significano ciò che sembrano significare
Hai mai fatto la traversata in barca verso l’attica?
Chi è incapace di evitare il pedaggio?
Più vecchio sei più velocemente diventi più vecchio
nel tuo desiderio di servire i tuoi interessi
non distruggerò i tuoi forzieri
ti do tre strofe e un Darico
l’amore
Una volta sotto la zampa della sfinge
l’uomo fece un’apertura
il fragrante soffio d’antico Egitto
uscì fumante
Oh come sognai di fiutare
l’aria vecchia tremila anni!
Ora ai tempi miei un uomo ne ha fatta
un’altra sottoterra
la fine della quale
contiene un’altra nave solare
l’odore è nuovo e madido
ancora in tempo (perché il tempo ospita)
il profumo dell’oggi
raggiungerà il naso del domani
Molte caverne ho conosciuto
una nella quale mia nonna
aveva cura di capre e limoni di Calabria
Cuma, studiai le foglie cadute
il venato messaggio su esse
ed imparai che la profezia era morta
Tusa, dove nessun orso andò mai in letargo,
aveva un pipistrello dentro la sua caverna
che era stata fatta d’un uomo.

",,Poem attributed to Gregory Corso,Unknown,https://www.ateliersulmare.com/en/poesia_fiumara_en.html,,38.0082522,14.2524111
Gregory Corso,"Rome, Italy",1980s,Setting,"My beliefs in Roma (""Il mio credo a Roma"") è una poesia di Corso in 12 frasi numerate, nello stile degli elenchi. La prima frase dal sapore buddista dice: ""Io non sono Dio; Dio è me. Io non sono tutto; Dio è tutto. Io non sono te; Dio lo è. Io non sono l' albero; Dio lo è. Dio è me è te l' albero"". L' ultima dice: ""Può darsi che io non sappia tutto quel che c' è da sapere ma so con certezza che non c' è poi così tanto da sapere"". In mezzo, al punto 6 leggiamo: ""Per i sacerdoti di Apis la vacca è sacra. Che cosa è sacro per la vacca?"" Il lungo soggiorno di Corso a Roma ebbe per lui un significato più profondo. Oltre a vantare mitiche radici italiane (""Io sono di una razza ricca del tempo delle terra / Mia nonna era una donna delle caverne / nei monti di Calabria / e sorvegliava le capre, le pecore, e gli alberi di limone / dove Pitagora faceva lezione.. .""), Corso era un poeta erudito sull' arte e la storia. Roma fu per lui, nella sua ricerca di identità e appartenenza, un luogo in cui afferrare, non importa se illusoriamente, radici antiche, e placare un po' la fuga da se stesso e il viaggio all' inferno. Fu un luogo simbolico, ma cosa può anelare un poeta se non a una relazione simbolica, che è la più alta - se si pensa che nell' antichità il symbolon suggellava il patto di ospitalità e protezione che si dava allo straniero? Di sicuro Roma era il luogo in cui volle restare: dove cioè i suoi resti, anche solo in cenere, in simbolo, permanessero a fianco di quelli del suo amato Shelley nel cimitero acattolico detto degli Inglesi, o dei Poeti, al Testaccio. E così fu.",TBD (FIX),"""My Beliefs in Roma"" ","""Vita aliena di Gregory Corso nella Roma di angeli e spiriti,"" in La Repubblica, May 22, 2008",https://ricerca.repubblica.it/repubblica/archivio/repubblica/2007/05/22/vita-aliena-di-gregory-corso-nella-roma.html ,,41.8933203,12.4829321
Gregory Corso,"Rome, Italy",1960,Setting,"Via Sacra I look down upon you,
my ownself tribunal,
before six-columned Saturnus
and tri-graced Castor and Pollux",,"""On Palatine""","Gregory Corso, ""On Palatine,"" in The Happy Birthday of Death. New Directions, 1960: 63.",,,41.8933203,12.4829321
Gregory Corso,"Florence, Italy",1960,Setting,"
Composed, to the series by Giotto, on a hill in Fiesole overlooking Florence, Spring 1960

FRANCIS & THE BIRDS

I praise you your love,
Your benediction of animals and men,
When the night-horn blew,
And the world’s property was disproportioned, Where ere the winged children,
The rabbit,
The afterglow —
Good human tree, birds come to rest;
Not only those which chirp But also those that honk and caw;
I see you with eagle,
Penguin, vulture, seagull;
Nor be it a bird
But an elephant, a herd!
All on your goodly compassionate shoulders.

FRANCIS & THE MIRACLE OF THE WATER

I’m thirsty for something,
something old and hard as rock;
and I don’t doubt my thirst will be satiated —
Ab initio intro, Greek marble breasts did abláctate me; how can I doubt you’d the Bright Plumber’s wand to turn the old hard rock’s faucet on —

SAINT FRANCIS HOLDING THE CHURCH FROM FALLING

The Church is steadfast.
Computers pistons engines hydros dynamos museum it; All is real estate.
What once gave light to dark Now gives dark to light.
The Church should not fall But walk away
And leave behind the glory of its stay —
What is Church?
A mink-necked eccelesiastic with problematical shouts? Trinklet tabernacles with sacred and profane truths? The morning high mass for a dead child in carnations? The evening stillness of an old priest in prayer?
Church is quiet!
Even Lucifer, that once great rebel, is stilled.
St. Sebastian no longer stands full-bodied;
The arrows cling to bone.
I see Christ a skeleton on the cross.
If the Church falls and stone does fall,
If Church-idea is forgotten and ideas are forgotten,
I know within my soul that Christ will always be. Nothing can erase that wonder of man;
Not bomb not anti-Christ nor thought nor me.
Christ is the victory of man
And so made your life, Francis, and most our history —

FULL LENGTH PORTRAIT OF SAINT FRANCIS

Francis, are you any stranger than Sitting Rull?
You are gone,
And gone the Andrews Sisters too.
What do I really know of you?
That you sent man forth naked And yourself sent;
That you spun your lovers under sun to faint And rise wherever and depart there;
That you made vacant by wish a pig’s foot And so wept the vacancy And so blessed the vacanter —
Francis, I speak to you full:
What good that which is not dead and can do nothing And with cunning complaints to life lives And threatens to die and dies not?
What good the present that sets Like a vaporous tent on the past And sits within a beady prophet of future?
What good that neo-architect
Drenched in the pageant of roseate Rabylon
Scheming crumbling cities to come?
I ask what good anything If the death-law be enforced?
Death is not man’s property
Yet man has raised a vast Hilton there —
What good the holy father holding his right hand over man
When man marries and breeds children
And at his Sunday table upholds the death-law?
What good what is blest by fortune and external harmony When judgment makes up the middle And carrion-things harbor the circle full?
What good what augments water so to give increase to water?
The fish that follows water is to the time of water;
More water makes not for more time —
What good a proper frame of mind on which foundations rest When what is built thereon has no permanence?
What good the magnificent wonders of man If man hurt another man?
What good armies if they are not painted ones?
What good mothers if they give birth In spite of armies and death-law?
What good Hemingway if electric chair?
Francis, I am nearing thirty And have not died as I romantically wished And I am glad that I will be thirty Because I find man indeed life’s victory.
So hail every baby born by every mother For each child is the second coming, yes!
Welcome new age! New space! New whatever!
I feel you near, I hear!
Future Exarchs and Viceroys and Savoies, hail!
Hail magnificent nudity!
I kiss you, little Lichtenstein!
Birth and millennium, Francis, Giotto,
Hail —

FRANCIS CHASING THE DEMONS OUT OF THE CITY

What good you Tritons and Nereids
with your tridents and sea-wreaths when there’s Alcatraz?
What good you Statue of Liberty or Galatea,
the sea is hardly free,
Rikers Island, Ellis Island, Welfare Island; there the demons, those sad mad structures, where wardens, executioners, and guards feast; it’s not Mithras kills their eat, nor the wine they drink be Bacchus kind —",Homage to the great frescoes of the life of St. Francis by the painter Giotto.,"""Saint Francis""","Gregory Corso, ""Saint Francis,"" in Long Live Man. New Directions: 1962.",,,43.7698712,11.2555757
